	Cu metal	Cu2O	CuO	
9040	1.01735514715264	1.03864968223447	1.0722809551545	
9040.2	1.01845523186638	1.03864968223447	1.0769159661013	
9040.4	1.02092528509031	1.04104739400268	1.07708996658295	
9040.6	1.02229936350607	1.0434540524567	1.08069028889308	
9040.8	1.0223034734116	1.04348089251378	1.08312856627546	
9041	1.02230758331713	1.04348089251378	1.08556684365788	
9041.2	1.02231169322266	1.04348089251378	1.08792996771844	
9041.4	1.02231580312819	1.04936333836299	1.08804808931594	
9041.6	1.02231991303373	1.05420796867101	1.09166703578068	
9041.8	1.02232402293926	1.05435111564223	1.09405245685267	
9042	1.02232813284479	1.05435111564223	1.09411431049668	
9042.2	1.02233224275032	1.05435111564223	1.09655258787912	
9042.4	1.02233635265585	1.05435111564223	1.09896016639677	
9042.6	1.02234046256138	1.05435111564223	1.09901161013874	
9042.8	1.02234457246691	1.06007699449183	1.10265278000188	
9043	1.02234868237244	1.06495293819952	1.10509105738431	
9043.2	1.02235279227797	1.06540921917039	1.10752933476673	
9043.4	1.0223569021835	1.06907736030846	1.10996761214911	
9043.6	1.02236101208903	1.07378331698793	1.10999036507511	
9043.8	1.02236512199456	1.07609156189912	1.11000656213631	
9044	1.02236923190009	1.07609156189912	1.11002275919752	
9044.2	1.02182535440152	1.07609156189912	1.11003895625872	
9044.4	1.02169246745604	1.07609156189912	1.11005515331992	
9044.6	1.02128558680847	1.07618550209904	1.11364043408275	
9044.8	1.01882375339561	1.07976864972276	1.1184751560466	
9045	1.01636191998271	1.08213057474825	1.12103676081465	
9045.2	1.01575481316831	1.08213057474825	1.12105295787585	
9045.4	1.01746611460197	1.08215741480533	1.12106915493705	
9045.6	1.01610025599728	1.08456407325935	1.12108535199826	
9045.8	1.01747433441303	1.08696178502756	1.12136510089582	
9046	1.01747844431856	1.08696178502756	1.12509823205667	
9046.2	1.0185785290323	1.08696178502756	1.12979773521512	
9046.4	1.02104858225623	1.08696178502756	1.13208315655419	
9046.6	1.02242266067199	1.08696178502756	1.13209935361539	
9046.8	1.02242677057752	1.08696178502756	1.13211555067659	
9047	1.02243088048305	1.08696178502756	1.13213174773779	
9047.2	1.02243499038858	1.08696178502756	1.132147944799	
9047.4	1.02243910029411	1.08696178502756	1.1321641418602	
9047.6	1.02244321019965	1.08696178502756	1.1321803389214	
9047.8	1.02244732010518	1.08696178502756	1.13235021407893	
9048	1.02409539222301	1.08463564674496	1.13595191133898	
9048.2	1.02725042970208	1.08222898829096	1.13839018872141	
9048.4	1.02972048292602	1.07982232983709	1.14082846610379	
9048.6	1.03219053614998	1.07626602227032	1.14319434053854	
9048.8	1.03356461456572	1.07609156189912	1.14321053759974	
9049	1.03356872447125	1.07609156189912	1.14322673466094	
