monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
9.16984,24024803.0,,1.57201e-09,,1.5282856343153034e+16,
9.17253,24001803.0,,1.57201e-09,,1.5268225392968238e+16,
9.17524,23811190.0,,1.57201e-09,,1.5146971075247612e+16,
9.17797,23848432.0,,1.57201e-09,,1.517066176423814e+16,
9.18071,23710117.0,,1.57201e-09,,1.5082675682724664e+16,
9.18348,23591914.0,,1.57201e-09,,1.5007483412955388e+16,
9.18627,23814591.0,,1.57201e-09,,1.5149134547490156e+16,
9.18907,23767340.0,,1.57201e-09,,1.5119076850656166e+16,
9.19189,23696835.0,,1.57201e-09,,1.507422662705708e+16,
9.19473,23757535.0,,1.57201e-09,,1.511283961297956e+16,
9.1976,23720029.0,,1.57201e-09,,1.5088980986126042e+16,
9.20047,23778270.0,,1.57201e-09,,1.5126029732635288e+16,
9.20337,23615788.0,,1.57201e-09,,1.5022670339247206e+16,
9.20629,23656674.0,,1.57201e-09,,1.504867907964962e+16,
9.20923,23592619.0,,1.57201e-09,,1.5007931883384966e+16,
9.21218,23478393.0,,1.57201e-09,,1.493526949574112e+16,
9.21515,23439687.0,,1.57201e-09,,1.4910647514964918e+16,
9.21815,23605300.0,,1.57201e-09,,1.5015998625962938e+16,
9.22116,23729234.0,,1.57201e-09,,1.5094836546841304e+16,
9.22419,23856295.0,,1.57201e-09,,1.5175663640816534e+16,
9.22724,23932596.0,,1.57201e-09,,1.5224200863862188e+16,
9.2303,24403002.0,,1.57201e-09,,1.552343941832431e+16,
9.23339,24572145.0,,1.57201e-09,,1.5631036062111564e+16,
9.2365,24716908.0,,1.57201e-09,,1.5723123898702934e+16,
9.23962,24900841.0,,1.57201e-09,,1.584012887958728e+16,
9.24276,25060834.0,,1.57201e-09,,1.594190494971406e+16,
9.24593,25048361.0,,1.57201e-09,,1.5933970521816018e+16,
9.24911,25204214.0,,1.57201e-09,,1.6033113020909536e+16,
9.25231,25232940.0,,1.57201e-09,,1.6051386441562076e+16,
9.25553,25268888.0,,1.57201e-09,,1.6074253980572642e+16,
9.25876,25363230.0,,1.57201e-09,,1.6134267593717596e+16,
9.26202,25398188.0,,1.57201e-09,,1.6156505365741948e+16,
9.26529,25364938.0,,1.57201e-09,,1.6135354100800886e+16,
9.26859,25335441.0,,1.57201e-09,,1.611659022525302e+16,
9.2719,25360280.0,,1.57201e-09,,1.613239101532433e+16,
9.27523,25194264.0,,1.57201e-09,,1.602678354463394e+16,
9.27858,25474401.0,,1.57201e-09,,1.620498660949994e+16,
9.28195,25432956.0,,1.57201e-09,,1.6178622273395208e+16,
9.28534,25446051.0,,1.57201e-09,,1.6186952373076506e+16,
9.28875,25417398.0,,1.57201e-09,,1.6168725389787596e+16,
9.29217,25487716.0,,1.57201e-09,,1.6213456657400398e+16,
9.29562,25482220.0,,1.57201e-09,,1.62099604964345e+16,
9.29908,25448499.0,,1.57201e-09,,1.6188509615078784e+16,
9.30256,25595623.0,,1.57201e-09,,1.6282099350513038e+16,
9.30606,25586061.0,,1.57201e-09,,1.6276016692005776e+16,
9.30958,26073917.0,,1.57201e-09,,1.6586355684760274e+16,
9.31312,26255632.0,,1.57201e-09,,1.670194973314419e+16,
9.31668,26276718.0,,1.57201e-09,,1.6715363133822304e+16,
9.32026,26489756.0,,1.57201e-09,,1.6850882627973104e+16,
9.32385,26567187.0,,1.57201e-09,,1.690013867596262e+16,
9.32747,26731437.0,,1.57201e-09,,1.7004622744130126e+16,
9.3311,26941667.0,,1.57201e-09,,1.7138355990101844e+16,
9.33475,27024572.0,,1.57201e-09,,1.7191094204235342e+16,
9.33842,27080862.0,,1.57201e-09,,1.7226901864491956e+16,
9.34211,27198233.0,,1.57201e-09,,1.7301564875541504e+16,
9.34582,27465481.0,,1.57201e-09,,1.7471568883149598e+16,
9.34955,27379322.0,,1.57201e-09,,1.7416760707629086e+16,
9.35329,27610286.0,,1.57201e-09,,1.7563683437128262e+16,
9.35706,27670663.0,,1.57201e-09,,1.7602090953619888e+16,
9.36084,27853985.0,,1.57201e-09,,1.7718707260131932e+16,
9.36464,27860257.0,,1.57201e-09,,1.77226970566345e+16,
9.36846,27949243.0,,1.57201e-09,,1.7779303566771204e+16,
9.3723,27911701.0,,1.57201e-09,,1.7755422039300004e+16,
9.37616,28048242.0,,1.57201e-09,,1.7842279629264444e+16,
9.38004,27916380.0,,1.57201e-09,,1.7758398483470206e+16,
9.38394,28171337.0,,1.57201e-09,,1.79205838385252e+16,
9.38785,28086717.0,,1.57201e-09,,1.7866754664410532e+16,
9.39179,28173981.0,,1.57201e-09,,1.7922265761668182e+16,
9.39574,28315682.0,,1.57201e-09,,1.8012405773500168e+16,
9.39971,28324375.0,,1.57201e-09,,1.801793563654175e+16,
9.40371,28417893.0,,1.57201e-09,,1.807742507999313e+16,
9.40771,28472058.0,,1.57201e-09,,1.8111880967678324e+16,
9.41174,28773709.0,,1.57201e-09,,1.8303769696121524e+16,
9.41579,28650623.0,,1.57201e-09,,1.822547121201519e+16,
9.41986,28931438.0,,1.57201e-09,,1.8404105571847508e+16,
9.42394,29081796.0,,1.57201e-09,,1.8499752546103396e+16,
9.42805,29170728.0,,1.57201e-09,,1.855632470531358e+16,
9.43217,29194935.0,,1.57201e-09,,1.857172346231894e+16,
9.43631,29328172.0,,1.57201e-09,,1.8656479284482924e+16,
9.44047,29390226.0,,1.57201e-09,,1.86959535880815e+16,
9.44465,29656759.0,,1.57201e-09,,1.886550276397733e+16,
9.44885,29421078.0,,1.57201e-09,,1.8715579417433732e+16,
9.45307,29809038.0,,1.57201e-09,,1.896237174063778e+16,
9.4573,29984931.0,,1.57201e-09,,1.907426225024014e+16,
9.46156,29936114.0,,1.57201e-09,,1.9043208376537044e+16,
9.46583,30278534.0,,1.57201e-09,,1.92610314183752e+16,
9.47012,30507681.0,,1.57201e-09,,1.940679830280978e+16,
9.47443,30569946.0,,1.57201e-09,,1.9446406829473096e+16,
9.47876,30864485.0,,1.57201e-09,,1.9633771413667852e+16,
9.48311,31075370.0,,1.57201e-09,,1.97679213236557e+16,
9.48748,31258493.0,,1.57201e-09,,1.9884411040642236e+16,
9.49187,31444468.0,,1.57201e-09,,2.0002714995451684e+16,
9.49627,31381734.0,,1.57201e-09,,1.9962808124630252e+16,
9.5007,31677385.0,,1.57201e-09,,2.0150880083460028e+16,
9.50514,31673001.0,,1.57201e-09,,2.014809129712915e+16,
9.5096,32050894.0,,1.57201e-09,,2.0388479717050144e+16,
9.51408,32083399.0,,1.57201e-09,,2.0409157066430876e+16,
9.51858,32093633.0,,1.57201e-09,,2.041566720313484e+16,
9.5231,32321289.0,,1.57201e-09,,2.056048562032048e+16,
9.52764,32583949.0,,1.57201e-09,,2.0727571071430844e+16,
